,,,
,,,
fpsol2i1,0.00,1540,
q13,0.41,1636,17
miles1500,0.52,1608,73
q12,0.26,1548,15
myciel7,0.15,1560,9
q10,0.10,1612,13
q15,0.50,1668,19
R1789_875431_10,26.10,9876,587
R22_99_15,0.00,1484,7
fpsol2i3,0.00,1456,7
Gf12345_12111222_457_15,541.10,137900,524
inithxi2,0.00,1556,524
fpsol2i2,0.00,1484,524
q11,0.17,1588,14
R1999999_10123123_1,585.28,230624,7
myciel5,0.02,1564,6
bxb15_22_10,0.14,1692,37
bxb777_999_12,714.36,210756,1776
q7,0.05,1524,9
q8_12,0.20,1584,13
zeroini1,0.00,1464,13
myciel4,0.00,1576,5
inithxi1,0.00,1484,5
huck,0.04,1596,11
anna,0.04,1600,11
david,0.05,1560,11
miles1000,0.36,1616,42
